epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9691957831382751,0.8202992677688599,2e-05,0.8483625650405884,1.0733753442764282
1,0.976386308670044,0.7934196591377258,2e-05,0.8459986448287964,1.0953236818313599
2,0.9813765287399292,0.7759236097335815,2e-05,0.8464022278785706,1.0823553800582886
3,0.9841808676719666,0.7648589015007019,1e-05,0.8517643213272095,1.0652408599853516
4,0.9855902194976807,0.7577628493309021,1e-05,0.8530904054641724,1.0670474767684937
5,0.9867838025093079,0.7517152428627014,1e-05,0.8577606081962585,1.0607123374938965
6,0.9875460267066956,0.7459650039672852,1e-05,0.8529174327850342,1.0654466152191162
7,0.9885814785957336,0.7421720027923584,1e-05,0.855108380317688,1.0695866346359253
8,0.9895161986351013,0.7363864779472351,5e-06,0.8564345240592957,1.0630466938018799
9,0.9903503060340881,0.7335540652275085,5e-06,0.8562615513801575,1.0610127449035645
