word_id,label_name,source_class_id
0,drink,1
1,chair,4
2,help,12
3,thin,14
4,walk,15
5,mother,25
6,table,28
7,bed,32
8,family,37
9,man,45
10,tall,48
11,doctor,60
12,eat,61
13,short,72
14,medicine,89
15,right,95
16,son,97
17,brother,107
18,door,113
19,knife,119
20,headache,117
21,room,126
22,sick,129
23,teacher,133
24,daughter,151
25,friend,155
26,happy,157
27,cold,147
28,open,933
29,close,195
30,sleep,326
31,think,334
32,child,370
33,hospital,404
34,pain,937
35,love,561
36,hate,709
37,key,1150
38,left,1153
39,inside,717
40,outside,570
41,under,1267
42,up,793
43,here,212
44,there,458
45,near,303
46,far,153
47,engineer,1386
48,lawyer,913
49,nurse,310
50,welcome,1033
51,thank you,333
52,wedding,624
53,divorce,274
54,party,230
55,god,542
56,religion,583
57,fire,1748
58,beautiful,817
59,ugly,252
60,rich,969
61,poor,435
62,camera,830
63,television,786
64,telephone,1010
65,kitchen,411
66,bathroom,142
67,window,178
68,house,214
69,father,280
70,sister,325
71,baby,259
72,grandfather,544
73,grandmother,704
74,uncle,467
75,aunt,483
76,cousin,9
77,smoke,1934
78,build,661
79,break,825
80,support,1001
81,choose,371
82,call,145
83,plant,1485
84,swim,1006
85,pray,947
86,heart,287
87,allergy,808
88,diabetes,1370
89,infection,1427
90,muscle,732
91,skeleton,1230
92,thermometer,1014
93,pilot,1864
94,farmer,1396
95,manager,1162
96,policeman,1867
97,firefighter,1749
98,photographer,943
99,chef,83
100,twin,1583
101,nephew,304
102,people,429
103,pregnant,1191
104,young,630
105,wake up,1588
106,hear,211
107,enter,525
108,stand,779
109,grow,892
110,cry,111
111,believe,359
112,feel,205
113,afraid,1291
114,brave,1058
115,humble,289
116,proud,1503
117,selfish,1218
118,jealous,409
119,smart,592
120,patient,313
121,confused,1350
122,disgusted,1713
123,honest,1139
124,strong,606
125,bedroom,488
126,spoon,1552
127,fork,1116
128,cup,374
129,wall,1269
130,roof,970
131,plate,1187
132,towel,1975
133,electricity,1728
134,surgery,457
135,diarrhea,859
136,drug,1720
137,face,530
138,between,1634
139,back,260
140,around,1307
141,through,1255
142,front,540
143,side,983
144,soldier,1936
145,gift,1762
146,engagement,1385
147,death,1699
148,fault,281
149,travel,177
150,church,372
151,angel,477
152,heaven,1132
153,spirit,777
154,christian,1071
155,jewish,1148
156,forgive,1753
