sign_id,category
224,adjective
226,adjective
227,adjective
229,adjective
231,adjective
272,adjective
273,direction
275,direction
279,direction
281,direction
282,direction
283,direction
285,direction
286,direction
287,direction
288,direction
234,emotion
235,emotion
237,emotion
238,emotion
239,emotion
240,emotion
247,emotion
254,emotion
255,emotion
256,emotion
265,emotion
192,family
193,family
194,family
195,family
196,family
197,family
198,family
199,family
200,family
209,family
210,family
216,family
217,family
223,family
289,greeting
290,greeting
291,greeting
292,greeting
293,greeting
294,greeting
295,greeting
297,greeting
298,greeting
375,greeting
92,health
100,health
113,health
115,health
116,health
117,health
132,health
134,health
497,health
498,health
299,home
302,home
303,home
304,home
306,home
312,home
321,home
325,home
328,home
336,home
341,home
346,home
1,number
2,number
3,number
4,number
5,number
6,number
7,number
8,number
9,number
10,number
11,number
12,number
13,number
14,number
15,number
16,number
17,number
18,number
19,number
20,number
21,number
22,number
23,number
24,number
25,number
26,number
27,number
28,number
29,number
30,number
31,number
202,people
203,people
204,people
218,people
468,profession
484,profession
486,profession
491,profession
492,profession
500,profession
160,verb
161,verb
162,verb
163,verb
164,verb
165,verb
169,verb
170,verb
173,verb
174,verb
175,verb
181,verb
182,verb
185,verb
186,verb
189,verb
191,verb
