SignID,Sign-Arabic,Sign-English
1,0,0
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,20,20
13,30,30
14,40,40
15,50,50
16,60,60
17,70,70
18,80,80
19,90,90
20,100,100
21,200,200
22,300,300
23,400,400
24,500,500
25,600,600
26,700,700
27,800,800
28,900,900
29,1000,1000
30,1000000,1000000
31,10000000,10000000
32,?,alif
33,?,baa
34,?,ta
35,?,tha
36,?,Jiim
37,?,Haa
38,?,kha
39,?,daal
40,?,thal
41,?,raa
42,?,zay
43,?,siin
44,?,shiin
45,?,Saad
46,?,Daad
47,?,Taa
48,?,Zaa
49,?,Ayn
50,?,ghayn
51,?,faa
52,?,qaaf
53,?,kaaf
54,?,laam
55,?,miim
56,?,noon
57,?,haa
58,?,waaw
59,?,yaa
60,?,taa marbuuTa
61,?,alif with hamza above
62,?,Waaw with hamza
63,?,Alif maqsoura with hamza
64,??,hamza on line
65,?,hamza
66,?,alif with hamza below
67,?,ALif with maad
68,?,Alif maqsoura
69,??,laam Alif
70,??,Al
71,???? ????,Skeleton
72,????,skull
73,???? ????,Backbone
74,??? ????,Chest
75,???? ?????,Respiratory device
76,???? ??????,Trachea
77,?????,lungs
78,???? - ????,Ins and Outs
79,???? ????,digestive system
80,???,Face
81,?????,pharynx
82,???,liver
83,?????????,pancreas
84,??????? ???????,Small intestine
85,??????? ???????,Large intestine
86,??????? ???????,Appendix
87,???? ????,nervous system
88,???,heart
89,???? ???,five senses
90,????,muscle
91,?????,tissue
92,??????,hospital
93,??????? ?????,first aid
94,??? ????,wound
95,????,burning
96,????/ ???,anesthetist
97,????? ??????,surgery
98,??? / ?????,gauze
99,???? ???? / ??????,adhesive tape
100,??????,pharmacy
101,????? ??,blood analysis
102,??? ?????,physical examination
103,??? ?????,sight examination
104,????? ?????,thermometer
105,????? ???,stethoscope
106,???? ???? ?????,sphygmometroscope
107,??? ?????,pulse
108,????? ???,analysis
109,???? ???????? / ?????,analysis laboratory
110,???? ????,ray photo
111,??????,inflammation
112,????,swelling
113,????,cold
114,????,infection
115,????,headache
116,???,pain
117,???,fever
118,?????,diarrhea
119,?????,constipation
120,???,colic
121,??? ????? / ????,diabetes
122,???? ?????,heart attack
123,?????,cancer
124,??? ????? ??????? / ??????,Aids
125,????? ?????,Loss of hair
126,???? ?????,Heart failure
127,??? ????,hemiplegia
128,??? ?????,Cerebral paralysis
129,??? ????,blood pressure
130,??????,allergy
131,??? / ???,itch
132,????,medicine
133,???? ?????,monthly circulation
134,???? / ???,sick
135,??????,capsule
136,???? ????,liquid medicine
137,????,ointment
138,?????,dropper
139,??? ????,acupuncture
140,?????,pollination
141,?????,inoculation
142,???? ????,laser ray
143,??????,drug's
144,?????,addiction
145,???? / ??????,oneness
146,??????,mongoloid
147,??????,bacterium
148,??????,microbe
149,?????,virus
150,??????,spread
151,?????,hindrance
152,????? ?????,mentality hindrance
153,????? ?????,physical disability
154,????? ?????,visual impairment
155,????? ?????,hearing hindrance
156,????,epidemic
157,?????,immunity
158,???,nerve
159,?????,healthy
160,????,eat
161,????,drink
162,????,sleep
163,??????,wake up
164,????,hear
165,????,silence
166,???,inhale
167,????,rise
168,????,descend
169,????,open
170,???? ( ???? ),close
171,????,build
172,????,break
173,????,walk
174,???,love
175,????,hate
176,????,grill
177,????,plow
178,????,plant
179,????,irrigate
180,????,harvest
181,????,think
182,?????,help
183,????,smoke
184,????,support
185,?????,choose
186,?????,call
187,??????,grow
188,????,dye
189,???,stand
190,?????,bathe
191,????,enter
192,????,family
193,???,grandmother
194,??,grandfather
195,??,father
196,??,mother
197,???,sister
198,??,brother
199,???,girl
200,????,baby
201,????,twin
202,???,man
203,???,young man
204,????,young woman
205,????,grandchild
206,????,wedding
207,???,pregnant
208,?????,childbirth
209,??,uncle
210,???,aunt
211,???,maternal uncle
212,????,maternal aunt
213,??? ????,nephew
214,??? ?????,nephew
215,??? ????,cousin
216,???,son
217,????,daughter
218,???,people
219,????,divorce
220,?????,engagement
221,????,party
222,????,death
223,???,child
224,????,beautiful
225,????,ugly
226,????,long
227,????,short
228,????,thin
229,????,fat
230,???,rich
231,????,poor
232,????,offended
233,?????,disgusted
234,?????,confused
235,???,worried
236,????,deranged
237,????,afraid
238,???? (?????),happy
239,????,sad
240,????,courageous
241,????,coward
242,????,ambitious
243,????,admirable
244,???? ??,to be jealous of
245,???? ???,to protect jealously
246,????,affectionate
247,????,generous
248,????,miserly
249,????,greedy
250,????,liar
251,?????,selfish
252,?????,proud
253,??????,humble
254,????,feeling
255,???,tired
256,????,crying
257,??????,contempt
258,?????? ??? ?????,self-dependence
259,????,light
260,????,heavy
261,????,old
262,???,envy
263,???,believe
264,???,betrayal
265,???,patient
266,???,blame
267,????,truth
268,?????,treason
269,?????,preference
270,?????,self sacrifice
271,????,pity
272,???,intelligent
273,????,in front of
274,?????,side
275,????,far
276,???,between
277,???,under
278,???,around
279,????,outside
280,???,back
281,????,inside
282,???,up
283,????,near
284,?? ????,through
285,???,here
286,????,there
287,????,left
288,????,right
289,???? ??????,welcome
290,?????? ?????,greeting
291,????,here you are
292,???,neighbor
293,?????,thanks
294,????,friend
295,???,guest
296,???,enemy
297,???,fault
298,????,gift
299,???,house
300,????,wall
301,???,roof
302,???,door
303,????,window
304,????,room
305,???? ???,bedroom
306,????,bed
307,????? ???? ( ????),mattress
308,???? ( ???? ????),bedsheet
309,????? ( ????),pillow
310,????? ( ????),clothes rail
311,????? ?????,wardrobe
312,????,kitchen
313,??? ????,Oven
314,??????? (????),cooker
315,??? ( ???),dish
316,????,knife
317,????,fork
318,?????,spoon
319,?????,cupful
320,???? (?????),freezer
321,??? ( ???),cup
322,???? ????? ( ????),thermos
323,???? ????,food room
324,?????,pitcher
325,?????,table
326,???? ( ???),dalah
327,???? ???? (????),bathroom
328,????,chair
329,?????,washing machine
330,?????,towel carpet
331,????? (?????),carpet
332,????? ( ??? ????) moquette,moquette
333,???? (????),chandelier
334,????,cassette
335,???? ????,cassette tape
336,??????? (?????),television
337,??? ????? (??),satellite
338,???? ?????,video tape
339,?????? ?????,video camera
340,?????? ??????????,photo camera
341,???? ( ?????),telephone
342,???? ????,guests room
343,?????,video
344,?????,censer
345,?????,heater
346,?????,key
347,?????,fan
348,????? ??????,central heater
349,??????,electrics
350,????,air conditioner
351,??? ???????,wire
352,???? ??????? ( ???),plug
353,????? ???,bag
354,?????,iron
355,????? ????? ???,thermometer
356,???? ?????,God
357,???? ???? ????,Muhammad is the Messenger of Allah
358,???? ??????,Essa Christ
359,?????? ??????,The Holy Quran
360,??????? ????????,Rightly Guided Caliphs
361,????? ???????,Sunnah
362,????? ???????,Pillars of Islam
363,????? ???????,Pillars of Faith
364,?????????,The two certificates
365,???? / ??????,pray
366,??????,zakat
367,?????,Fasting
368,??????,Umrah
369,????,Pilgrimage
370,??????,Angels
371,????,messenger
372,??? ???????,Doomsday
373,?????? ??????,Fate and destiny
374,????? ??????,Pillars of prayer
375,???,Good
376,?????,Intention
377,??,Evil
378,?????,purity
379,?????? ??????,Prayer invalidators
380,????,tayammum
381,????? / ????,ablution
382,????,authorized
383,??? ??? ??????,Wipe on the slippers
384,???? ?????,Al-fajr prayer
385,???? ?????,Salat Aduher
386,???? ?????,Asr prayer
387,???? ??????,Maghreb's prayer
388,???? ??????,eshaa pray
389,????,speech
390,???? ??????,Friday sermon
391,????,Fiance
392,???? ?????,Eid sermon
393,????,Mosque
394,????,surah
395,????,Before
396,???? ???????,Al-Fatihah
397,???,any
398,???? ?????,Night of Power
399,???,Feast
400,??? ?????,Eid al-Fitr
401,??? ??????,Eid al-Adha
402,?????,Ihram
403,???,Mecca
404,??????,Kaaba
405,??????? ???????,Medina
406,???,Mona
407,??? ?????,Arafat Mountain
408,????? ???????,Safa and Marwa
409,??????,Muzdalifah
410,??? ???????,Throwing pebbles
411,????,circumambulation
412,??? ????,Zamzam water
413,???????,the sacrifice
414,?? ???????,break the ihram
415,???? ??????,farewell circumambulation
416,?????? ??????,Al-Aqsa Mosque
417,????,swim
