model_class_index,karsl_class_id,english,arabic
0,2,0,0
1,3,1,1
2,4,2,2
3,5,3,3
4,6,4,4
5,7,5,5
6,8,6,6
7,9,7,7
8,10,8,8
9,11,9,9
10,12,10,10
11,13,20,20
12,14,30,30
13,15,40,40
14,16,50,50
15,17,60,60
16,18,70,70
17,19,80,80
18,20,90,90
19,21,100,100
20,22,200,200
21,23,300,300
22,24,400,400
23,25,500,500
24,26,600,600
25,27,700,700
26,28,800,800
27,29,900,900
28,30,1000,1000
29,31,1000000,1000000
30,32,10000000,10000000
31,93,hospital,مستشفى
32,101,pharmacy,صيدلية
33,114,cold,برد
34,116,headache,صداع
35,117,pain,ألم
36,118,fever,حمى
37,133,medicine,دواء
38,135,sick,مريض
39,161,eat,أكل
40,162,drink,شرب
41,163,sleep,نام
42,164,wake up,استيقظ
43,165,hear,سمع
44,166,silence,صمت
45,170,open,فتح
46,171,close,أغلق
47,174,walk,مشى
48,175,love,حب
49,176,hate,كره
50,182,think,فكّر
51,183,help,ساعد
52,186,choose,اختار
53,187,call,اتصل
54,190,stand,وقف
55,192,enter,دخل
56,193,family,عائلة
57,194,grandmother,جدة
58,195,grandfather,جد
59,196,father,أب
60,197,mother,أم
61,198,sister,أخت
62,199,brother,أخ
63,200,girl,بنت
64,201,baby,رضيع
65,203,man,رجل
66,204,young man,شاب
67,205,young woman,شابة
68,210,uncle,عم
69,211,aunt,خالة
70,217,son,ابن
71,218,daughter,ابنة
72,219,people,ناس
73,224,child,طفل
74,225,beautiful,جميل
75,227,long,طويل
76,228,short,قصير
77,230,fat,سمين
78,232,poor,فقير
79,235,confused,محتار
80,236,worried,قلق
81,238,afraid,خائف
82,239,happy,سعيد
83,240,sad,حزين
84,241,courageous,شجاع
85,248,generous,كريم
86,255,feeling,شعور
87,256,tired,تعبان
88,257,crying,يبكي
89,266,patient,صابر
90,273,intelligent,ذكي
91,274,in front of,أمام
92,276,far,بعيد
93,280,outside,خارج
94,282,inside,داخل
95,283,up,فوق
96,284,near,قريب
97,286,here,هنا
98,287,there,هناك
99,288,left,يسار
100,289,right,يمين
101,290,welcome,أهلاً وسهلاً
102,291,greeting,تحية
103,292,here you are,تفضل
104,293,neighbor,جار
105,294,thanks,شكراً
106,295,friend,صديق
107,296,guest,ضيف
108,298,fault,غلطة
109,299,gift,هدية
110,300,house,بيت
111,303,door,باب
112,304,window,نافذة
113,305,room,غرفة
114,307,bed,سرير
115,313,kitchen,مطبخ
116,322,cup,كوب
117,326,table,طاولة
118,329,chair,كرسي
119,337,television,تلفزيون
120,342,telephone,هاتف
121,347,key,مفتاح
122,376,Good,جيد
123,469,Sign language translator,مترجم لغة الإشارة
124,485,policeman,شرطي
125,487,soldier,جندي
126,492,teacher,معلم
127,493,chef,طباخ
128,498,doctor,طبيب
129,499,nurse,ممرضة
130,501,lawyer,محامي
