model_class_index,karsl_class_id,english,arabic
0,1,1,1
1,2,0,0
2,3,1,1
3,4,2,2
4,5,3,3
5,6,4,4
6,7,5,5
7,8,6,6
8,9,7,7
9,10,8,8
10,11,9,9
11,12,10,10
12,13,20,20
13,14,30,30
14,15,40,40
15,16,50,50
16,17,60,60
17,18,70,70
18,19,80,80
19,20,90,90
20,21,100,100
21,22,200,200
22,23,300,300
23,24,400,400
24,25,500,500
25,26,600,600
26,27,700,700
27,28,800,800
28,29,900,900
29,30,1000,1000
30,31,1000000,1000000
31,32,10000000,10000000
32,33,alif,alif
33,34,baa,baa
34,35,ta,ta
35,36,tha,tha
36,37,Jiim,Jiim
37,38,Haa,Haa
38,39,kha,kha
39,40,daal,daal
40,41,thal,thal
41,42,raa,raa
42,43,zay,zay
43,44,siin,siin
44,45,shiin,shiin
45,46,Saad,Saad
46,47,Daad,Daad
47,48,Taa,Taa
48,49,Zaa,Zaa
49,50,Ayn,Ayn
50,51,ghayn,ghayn
51,52,faa,faa
52,53,qaaf,qaaf
53,54,kaaf,kaaf
54,55,laam,laam
55,56,miim,miim
56,57,noon,noon
57,58,haa,haa
58,59,waaw,waaw
59,60,yaa,yaa
60,61,taa marbuuTa,taa marbuuTa
61,62,alif with hamza above,alif with hamza above
62,63,Waaw with hamza,Waaw with hamza
63,64,Alif maqsoura with hamza,Alif maqsoura with hamza
64,65,hamza on line,hamza on line
65,66,hamza,hamza
66,67,alif with hamza below,alif with hamza below
67,68,ALif with maad,ALif with maad
68,69,Alif maqsoura,Alif maqsoura
69,70,laam Alif,laam Alif
70,71,Al,Al
71,72,Skeleton,???? ????
72,73,skull,????
73,74,Backbone,???? ????
74,75,Chest,??? ????
75,76,Respiratory device,???? ?????
76,77,Trachea,???? ??????
77,78,lungs,?????
78,79,Ins and Outs,???? - ????
79,80,digestive system,???? ????
80,81,Face,???
81,82,pharynx,?????
82,83,liver,???
83,84,pancreas,?????????
84,85,Small intestine,??????? ???????
85,86,Large intestine,??????? ???????
86,87,Appendix,??????? ???????
87,88,nervous system,???? ????
88,89,heart,???
89,90,five senses,???? ???
90,91,muscle,????
91,92,tissue,?????
92,93,hospital,??????
93,94,first aid,??????? ?????
94,95,wound,??? ????
95,96,burning,????
96,97,anesthetist,????/ ???
97,98,surgery,????? ??????
98,99,gauze,??? / ?????
99,100,adhesive tape,???? ???? / ??????
100,101,pharmacy,??????
101,102,blood analysis,????? ??
102,103,physical examination,??? ?????
103,104,sight examination,??? ?????
104,105,thermometer,????? ?????
105,106,stethoscope,????? ???
106,107,sphygmometroscope,???? ???? ?????
107,108,pulse,??? ?????
108,109,analysis,????? ???
109,110,analysis laboratory,???? ???????? / ?????
110,111,ray photo,???? ????
111,112,inflammation,??????
112,113,swelling,????
113,114,cold,????
114,115,infection,????
115,116,headache,????
116,117,pain,???
117,118,fever,???
118,119,diarrhea,?????
119,120,constipation,?????
120,121,colic,???
121,122,diabetes,??? ????? / ????
122,123,heart attack,???? ?????
123,124,cancer,?????
124,125,Aids,??? ????? ??????? / ??????
125,126,Loss of hair,????? ?????
126,127,Heart failure,???? ?????
127,128,hemiplegia,??? ????
128,129,Cerebral paralysis,??? ?????
129,130,blood pressure,??? ????
130,131,allergy,??????
131,132,itch,??? / ???
132,133,medicine,????
133,134,monthly circulation,???? ?????
134,135,sick,???? / ???
135,136,capsule,??????
136,137,liquid medicine,???? ????
137,138,ointment,????
138,139,dropper,?????
139,140,acupuncture,??? ????
140,141,pollination,?????
141,142,inoculation,?????
142,143,laser ray,???? ????
143,144,drug's,??????
144,145,addiction,?????
145,146,oneness,???? / ??????
146,147,mongoloid,??????
147,148,bacterium,??????
148,149,microbe,??????
149,150,virus,?????
150,151,spread,??????
151,152,hindrance,?????
152,153,mentality hindrance,????? ?????
153,154,physical disability,????? ?????
154,155,visual impairment,????? ?????
155,156,hearing hindrance,????? ?????
156,157,epidemic,????
157,158,immunity,?????
158,159,nerve,???
159,160,healthy,?????
160,161,eat,????
161,162,drink,????
162,163,sleep,????
163,164,wake up,??????
164,165,hear,????
165,166,silence,????
166,167,inhale,???
167,168,rise,????
168,169,descend,????
169,170,open,????
170,171,close,???? ( ???? )
171,172,build,????
172,173,break,????
173,174,walk,????
174,175,love,???
175,176,hate,????
176,177,grill,????
177,178,plow,????
178,179,plant,????
179,180,irrigate,????
180,181,harvest,????
