model_class_index,label_name,source_class_id
0,0,1
1,1,2
2,10,11
3,100,20
4,1000,29
5,1000000,30
6,10000000,31
7,2,3
8,20,12
9,200,21
10,3,4
11,30,13
12,300,22
13,4,5
14,40,14
15,400,23
16,5,6
17,50,15
18,500,24
19,6,7
20,60,16
21,600,25
22,7,8
23,70,17
24,700,26
25,8,9
26,80,18
27,800,27
28,9,10
29,90,19
30,900,28
31,ء,65
32,آ,67
33,أ,61
34,أخذ إبرة,139
35,أزمة قلبية,122
36,أشعة ليزر,142
37,ألم,116
38,أنسجة,91
39,ؤ,62
40,إ,66
41,إدمان,144
42,إسعافات أولية,93
43,إسهال,118
44,إعاقة,151
45,إعاقة ذهنية,152
46,إعاقة سمعية,155
47,إمساك,119
48,إنتشار,150
49,ئ,63
50,ئـ,64
51,ا,32
52,اعاقة بصرية,154
53,اعاقة جسدية,153
54,ال,70
55,الأمعاء الدقيقة,84
56,الأمعاء الغليظة,85
57,البنكرياس,83
58,التهاب,111
59,الزائدة الدودية,86
60,ب,33
61,بكتريا,147
62,بلعوم,81
63,ة,60
64,ت,34
65,تحليل دم,101
66,تحليل طبي,108
67,تساقط الشعر,125
68,تطعيم,141
69,تلقيح,140
70,توحد / أوتيزم,145
71,تورم,112
72,ث,35
73,ج,36
74,جرثومة,148
75,جرح نازف,94
76,جمجة,72
77,جهاز تنفسي,75
78,جهاز عصبي,87
79,جهاز قياس الضغط,106
80,جهاز هضمي,79
81,ح,37
82,حروق,95
83,حساسية,130
84,حكة / هرش,131
85,حمى,117
86,حواس خمس,89
87,خ,38
88,د,39
89,دواء,132
90,دواء شراب,136
91,دورة شهرية,133
92,ذ,40
93,ر,41
94,رئتان,77
95,ز,42
96,زكام,113
97,س,43
98,سرطان,123
99,سكتة قلبية,126
100,سماعة أذن,105
101,ش,44
102,شاش / ضمادة,98
103,شريط لاصق / بلاستر,99
104,شلل دماغي,128
105,شلل نصفي,127
106,شهيق - زفير,78
107,ص,45
108,صداع,115
109,صورة اشعة,110
110,صيدلية,100
111,ض,46
112,ضغط الدم,129
113,ط,47
114,ظ,48
115,ع,49
116,عدوى,114
117,عصب,158
118,عضلة,90
119,عملية جراحية,97
120,عمود فقري,73
121,غ,50
122,ف,51
123,فحص النظر,103
124,فحص سريري,102
125,فيروس,149
126,ق,52
127,قصبة هوائية,76
128,قطارة,138
129,قفص صدري,74
130,قلب,88
131,ك,53
132,كبد,82
133,كبسولة,135
134,ل,54
135,لا,69
136,م,55
137,مخدر/ بنج,96
138,مخدرات,143
139,مرض السكر / سكري,121
140,مرض فقدان المناعة / الإيدز,124
141,مرهم,137
142,مريض / مرض,134
143,مستشفى,92
144,معافى,159
145,معمل التحاليل / مختبر,109
146,مغص,120
147,مناعة,157
148,منغولي,146
149,ميزان حرارة,104
150,ن,56
151,نبض القلب,107
152,ه,57
153,هيكل عظمي,71
154,و,58
155,وباء,156
156,وجه,80
157,ى,68
158,ي,59
159,يأكل,160
160,يبني,171
161,يتنامى,187
162,يحب,174
163,يحرث,177
164,يحصد,180
165,يختار,185
166,يدخن,183
167,يدعم,184
168,يزرع,178
169,يساعد,182
170,يستحم,190
171,يستيقظ,163
172,يسقي,179
173,يسكت,165
174,يسمع,164
175,يشرب,161
176,يشم,166
177,يشوي,176
178,يصبغ,188
179,يصعد,167
180,يفتح,169
181,يفكر,181
182,يقف,189
183,يقفل ( يغلق ),170
184,يكره,175
185,يكسر,172
186,يمشي,173
187,ينادي,186
188,ينام,162
189,ينزل,168
