path|size_kb|cells|purpose|architecture|dataset
wlasl-data.ipynb|18.6|25|dataset-analysis|none|WLASL
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\CBN-CPU.ipynb|8.4|4|model-training|CNN-based|ArSL-Letter (Arabic Sign Language)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\fixer notebook.ipynb|15.7|1|data-fixing/cleaning|none|ArSL-Letter (Arabic Sign Language)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mediapipe_Final_Arabic.ipynb|69.7|18|unknown|MobileNetV2+LSTM+Transformer|ArSL-Letter (Arabic Sign Language)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mediapipe_Optimized_Training.ipynb|12.3|9|model-training|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mediapipe_Training.ipynb|36.9|18|model-training|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mediapipe_Training_GPU_Optimized.ipynb|14.0|12|model-training|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mobilenet-arabic-optimized.ipynb|17.9|16|unknown|MobileNetV2|ArSL-Letter (Arabic Sign Language)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\Mobilenet-arabic.ipynb|60.1|33|unknown|MobileNetV2|ASL-Letter (Kaggle alphabet)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ArSL Letter (Arabic)\MobileNetV2_Mediapipe_Style_Training.ipynb|7.1|9|live-test/inference|MobileNetV2|ArSL-Letter (Arabic Sign Language)
Base Repo\Sign-Language-Recognition-System-main\Sign_to_Sentence Project Main\ASL Letter (English)\MBV2_draft - Copy.ipynb|0.4|0|draft/exploration|none|ASL-Letter (Kaggle alphabet)
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\Combined_Architecture.ipynb|64.4|26|combined-architecture|MobileNetV2|unknown
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\MBV2_draft.ipynb|12.2|17|draft/exploration|MobileNetV2|ASL-Letter (Kaggle alphabet)
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\mediapipe_draft.ipynb|5.4|2|draft/exploration|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\Mediapipe_Training.ipynb|6436.5|13|model-training|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\MobileNetV2_Training.ipynb|884.0|29|model-training|MobileNetV2|ASL-Letter (Kaggle alphabet)
Gradution Current Project\Sign-Language-Recognition-System-main\Sign-Language-Recognition-System-main\Sign_to_Sentence Project\Untitled-1.ipynb|7.7|2|unknown|none|unknown
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\eng-words-model.ipynb|626.7|7|model-training|LSTM|WLASL/ASL-Word
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\AR-ASL-GRAD_PROJ-main\Combined_Architecture.ipynb|42.5|33|combined-architecture|MobileNetV2|ASL-Letter (Kaggle alphabet)
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\AR-ASL-GRAD_PROJ-main\Core_arch.ipynb|17.1|7|combined-architecture|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\AR-ASL-GRAD_PROJ-main\eng-words-model.ipynb|626.7|7|model-training|LSTM|WLASL/ASL-Word
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\AR-ASL-GRAD_PROJ-main\Mediapipe_Training.ipynb|12851.5|15|model-training|MLP (MediaPipe)|ASL-Letter (Kaggle alphabet)
Optimized Letters camera repo\AR-ASL-GRAD_PROJ-main\AR-ASL-GRAD_PROJ-main\MobileNetV2_Training.ipynb|860.1|29|model-training|MobileNetV2|ASL-Letter (Kaggle alphabet)
